circuit204,5883,1020,0.8253266033254156,39398,84716,112190,93604,30.890736342042754
psmigr_1,543162,3140,0.7537537945967119,3271552,5515996,8744528,5540792,4.469917053833404
poisson3Da,352762,13514,0.859293231307278,2170656,6274444,6349936,6378092,72.84521385903555
mosfet2,1499460,46994,0.864514429169019,9184764,27691764,27074716,28052384,199.54598120734732
mip1,10352819,66463,0.2000746857265424,62382774,32388816,152165582,32877956,341.3113262843689
2cubes_sphere,1647264,101492,0.8367865236404624,10289572,25282492,29297956,26066416,1020.6020337876024
filter3D,2707179,106437,0.8068470649544569,16668838,35092544,46168958,35927368,808.2944367213747
cop20k_A,2624331,121192,0.7317205543197357,16230758,24515800,42680126,25079480,1501.4701233275541
scircuit,958936,170998,0.7913712890329251,6437620,11576444,17595316,12764464,6361.6022718768
m133-b3,800800,200200,0.8453184492904119,5605604,13042824,15215204,13657480,7741.811613014884
mario002,2101242,389874,0.8323380097741827,14166976,31526464,40633104,34916352,12128.499979892453
ASIC_680k,3871773,682862,0.8166233047554563,25962098,53125856,74009306,59641996,22085.139471268227
eu-2005,19235140,862664,0.6442418009197897,118861500,135601376,306290140,142114888,13763.944600741406
web-Google,5105039,916428,0.8747851864918752,34295966,102383840,102531734,109394172,20599.341931498675
in-2004,16917053,1382908,0.532354514250634,107033970,91128840,271115610,101786580,52866.263276976846
