0,512,512,128761,0.5084557476178841,12,774618,589524,1870242,589572
1,512,512,132877,0.4930835317096991,1,799314,589920,1927866,589924
2,512,512,142349,0.4569816589355469,0,856146,589956,2060474,589956
3,512,512,122501,0.5324674829018075,8,737058,589668,1782602,589700
4,2048,512,657561,0.37290096282958984,0,3953562,2359812,9476194,2359812
5,512,2048,587093,0.4400617646610001,5,3524610,2359248,8483498,2359268
6,512,512,158760,0.394378662109375,0,954612,589956,2290228,589956
7,512,512,161312,0.3846435546875,0,969924,589956,2325956,589956
8,512,512,154701,0.4098625183105469,0,930258,589956,2233402,589956
9,512,512,163812,0.3751068115234375,0,984924,589956,2360956,589956
10,512,512,138452,0.47181529634377095,1,832764,589920,2005916,589924
11,512,512,140197,0.46515824330098277,1,843234,589920,2030346,589924
12,512,512,139415,0.4681415186473784,1,838542,589920,2019398,589924
13,512,512,130440,0.5021678065461651,8,784692,589668,1893748,589700
14,2048,512,615379,0.4131288528442383,0,3700470,2359812,8885646,2359812
15,512,2048,552458,0.4731189153721732,2,3316800,2359356,7998608,2359364
16,512,512,122396,0.5327540923527975,12,736428,589524,1781132,589572
17,512,512,163814,0.37509918212890625,0,984936,589956,2360984,589956
18,512,512,119017,0.5456534021500122,12,716154,589524,1733826,589572
19,512,512,156550,0.40280914306640625,0,941352,589956,2259288,589956
20,512,512,130692,0.5013887193260896,2,786204,589884,1897276,589892
21,512,512,144385,0.4491813159982909,1,868362,589920,2088978,589924
22,512,512,131820,0.4971159128364768,1,792972,589920,1913068,589924
23,512,512,133155,0.4918679020637441,6,800982,589740,1931758,589764
24,2048,512,629035,0.40010547637939453,0,3782406,2359812,9076830,2359812
25,512,2048,550086,0.47539710998535156,0,3302568,2359428,7965400,2359428
26,512,512,129969,0.504177348470976,1,781866,589920,1887154,589924
27,512,512,164324,0.3731536865234375,0,987996,589956,2368124,589956
28,512,512,131426,0.49864959716796875,0,790608,589956,1907552,589956
29,512,512,157607,0.39855675296128956,6,947694,589740,2274086,589764
30,512,512,132401,0.4948994384422878,1,796458,589920,1921202,589924
31,512,512,158040,0.397125244140625,0,950292,589956,2280148,589956
32,512,512,136023,0.4811134338378906,0,818190,589956,1971910,589956
33,512,512,146596,0.4405757723775797,6,881628,589740,2119932,589764
34,2048,512,640824,0.38886260986328125,0,3853140,2359812,9241876,2359812
35,512,2048,560424,0.46553802490234375,0,3364596,2359428,8110132,2359428
36,512,512,133334,0.49137115478515625,0,802056,589956,1934264,589956
37,512,512,165516,0.3686065673828125,0,995148,589956,2384812,589956
38,512,512,134172,0.4881744384765625,0,807084,589956,1945996,589956
39,512,512,161231,0.38487745696496156,2,969438,589884,2324822,589892
40,512,512,128782,0.5087056705121162,1,774744,589920,1870536,589924
41,512,512,171580,0.3454742431640625,0,1031532,589956,2469708,589956
42,512,512,135490,0.48314666748046875,0,814992,589956,1964448,589956
43,512,512,157572,0.39869031627793383,6,947484,589740,2273596,589764
44,2048,512,655737,0.37464046478271484,0,3942618,2359812,9450658,2359812
45,512,2048,588044,0.4391889829861906,1,3530316,2359392,8496812,2359396
46,512,512,125661,0.5206413269042969,0,756018,589956,1826842,589956
47,512,512,154825,0.4093894958496094,0,931002,589956,2235138,589956
48,512,512,127452,0.5138092041015625,0,766764,589956,1851916,589956
49,512,512,153730,0.41349499450616534,2,924432,589884,2219808,589892
50,512,512,129316,0.5066684978331197,1,777948,589920,1878012,589924
51,512,512,176891,0.3252143859863281,0,1063398,589956,2544062,589956
52,512,512,141501,0.4602165222167969,0,851058,589956,2048602,589956
53,512,512,161782,0.3828129768662638,1,972744,589920,2332536,589924
54,2048,512,673253,0.35793590545654297,0,4047714,2359812,9695882,2359812
55,512,2048,611291,0.4170185778591592,1,3669798,2359392,8822270,2359396
56,512,512,102691,0.6080974842767295,7,618198,589704,1505262,589732
57,512,512,136832,0.47802734375,0,823044,589956,1983236,589956
58,512,512,105460,0.5975792172904328,5,634812,589776,1544028,589796
59,512,512,134494,0.48694610595703125,0,809016,589956,1950504,589956
60,2048,512,546132,0.4791679382324219,0,3284988,2359812,7916188,2359812
61,512,2048,478771,0.5405268714011516,411,2874678,2344632,6966990,2346276
62,512,512,126309,0.5180223151596557,5,759906,589776,1835914,589796
63,512,512,127433,0.5136739024241315,7,766650,589704,1851650,589732
64,512,512,124950,0.5232080713108249,5,751752,589776,1816888,589796
65,512,512,136926,0.47754120879120876,4,823608,589812,1984552,589828
66,2048,512,512834,0.5077310285512433,425,3085200,2344512,7450016,2346212
67,512,2048,430911,0.5857071161567216,529,2587518,2340384,6296950,2342500
68,512,512,89535,0.6555074181236149,140,539262,584916,1321078,585476
69,512,512,142150,0.4577076847952145,1,854952,589920,2057688,589924
70,512,512,83912,0.6749411181356142,250,505524,580956,1242228,581828
71,512,512,126151,0.5181250763965286,22,758958,589164,1833702,589252
72,2048,512,526135,0.4981083731436683,17,3165006,2359200,7636230,2359268
73,512,2048,434134,0.585300478381146,107,2606856,2355576,6342072,2356004
74,512,512,100634,0.615078029375765,44,605856,588372,1476464,588548
75,512,512,132334,0.49500091586274275,6,796056,589740,1920264,589764
76,512,512,96583,0.629825381737904,77,581550,587184,1419750,587492
77,512,512,120956,0.5382230773929509,13,727788,589488,1760972,589540
78,2048,512,527460,0.4969288875324279,6,3172956,2359596,7654780,2359620
79,512,2048,428269,0.5909904420640864,93,2571666,2356080,6259962,2356452
80,512,512,103808,0.603665241295052,14,624900,589452,1520900,589508
81,512,512,127274,0.5144289464045904,2,765696,589884,1849424,589892
