0,512,512,128761,0.5006786312589191,534,774618,644940,1935010,646308
1,512,512,132877,0.4902208274507397,186,799314,651900,1993402,652644
2,512,512,142349,0.454166538850885,169,856146,652240,2126010,652916
3,512,512,122501,0.5263794809934738,437,737058,646880,1848138,648628
4,2048,512,657561,0.372656864166813,51,3953562,2621448,9738338,2621652
5,512,2048,587093,0.4391202748352976,230,3524610,2617100,8745642,2618020
6,512,512,158760,0.3933233468863685,57,954612,654480,2355764,654708
7,512,512,161312,0.38426774154146814,20,969924,655220,2391492,655300
8,512,512,154701,0.4085991497950945,70,930258,654220,2298938,654500
9,512,512,163812,0.3746487906181285,24,984924,655140,2426492,655236
10,512,512,138452,0.4698737977087545,122,832764,653180,2071452,653668
11,512,512,140197,0.4636030424535521,97,843234,653680,2095882,654068
12,512,512,139415,0.46592476248850756,138,838542,652860,2084934,653412
13,512,512,130440,0.49915527568729845,213,784692,651360,1959284,652212
14,2048,512,615379,0.41262694715943804,112,3700470,2620228,9147790,2620676
15,512,2048,552458,0.4716071250946875,379,3316800,2614120,8260752,2615636
16,512,512,122396,0.5256410256410257,515,736428,645320,1846156,646868
17,512,512,163814,0.37469844565914434,21,984936,655200,2426520,655284
18,512,512,119017,0.5388510895508509,507,716154,645480,1798594,646740
19,512,512,156550,0.4018782284439283,51,941352,654600,2324824,654804
20,512,512,130692,0.49886499585876865,169,786204,652240,1962812,652916
21,512,512,144385,0.4481033270136383,66,868362,654300,2154514,654564
22,512,512,131820,0.49474119955844476,156,792972,652500,1978604,653124
23,512,512,133155,0.48985885922702055,141,800982,652800,1997294,653364
24,2048,512,629035,0.39975285316233444,77,3782406,2620928,9338974,2621236
25,512,2048,550086,0.47383151466919693,390,3302568,2613900,8227544,2615460
26,512,512,129969,0.5015149888005892,177,781866,652080,1952690,652788
27,512,512,164324,0.37294318771560275,11,987996,655400,2433660,655444
28,512,512,131426,0.49652926754520377,138,790608,652860,1973088,653412
29,512,512,157607,0.39776617858343777,55,947694,654520,2339622,654740
30,512,512,132401,0.4926387185775598,148,796458,652660,1986738,653252
31,512,512,158040,0.39662808099935865,27,950292,655080,2345684,655188
32,512,512,136023,0.47950913766186054,101,818190,653600,2037446,654004
